Title, Career, Grading, Class Number, Type, Credits, GE, Status, Available Seats, Enrollment Cap, Enrolled, WaitCap, WaitList
['\n        AMS 5 - 01\xa0\xa0 Statistics    ', 'Undergraduate', 'Student Option', '41680', 'Lecture', '5 units', 'SR', ' Open', '22', '250', '228', '0', '0']
['\n        AMS 5 - 02\xa0\xa0 Statistics    ', 'Undergraduate', 'Student Option', '41688', 'Lecture', '5 units', 'SR', ' Open', '2', '250', '248', '0', '0']
['\n        AMS 7 - 01\xa0\xa0 Statistical Methods for the Biological, Environmental, and Health Sciences    ', 'Undergraduate', 'Student Option', '41695', 'Lecture', '5 units', 'SR', ' Open', '52', '150', '98', '0', '0']
['\n        AMS 7 - 02\xa0\xa0 Statistical Methods for the Biological, Environmental, and Health Sciences    ', 'Undergraduate', 'Student Option', '43734', 'Lecture', '5 units', 'SR', ' Closed', '0', '75', '77', '0', '0']
['\n        AMS 7L - 01\xa0\xa0 Statistical Methods for the Biological, Environmental, and Health Sciences Laboratory    ', 'Undergraduate', 'Student Option', '42722', 'Laboratory', '2 units', '\xa0', ' Open', '21', '113', '92', '0', '0']
['\n        AMS 7L - 02\xa0\xa0 Statistical Methods for the Biological, Environmental, and Health Sciences Laboratory    ', 'Undergraduate', 'Student Option', '42727', 'Laboratory', '2 units', '\xa0', ' Open', '39', '112', '73', '0', '0']
['\n        AMS 10 - 01\xa0\xa0 Mathematical Methods for Engineers I    ', 'Undergraduate', 'Student Option', '41703', 'Lecture', '5 units', 'MF', ' Closed', '0', '225', '225', '0', '0']
['\n        AMS 11A - 01\xa0\xa0 Mathematical Methods for Economists I    ', 'Undergraduate', 'Student Option', '41513', 'Lecture', '5 units', 'MF', ' Open', '51', '130', '79', '0', '0']
['\n        AMS 11B - 01\xa0\xa0 Mathematical Methods for Economists II    ', 'Undergraduate', 'Student Option', '41526', 'Lecture', '5 units', 'MF', ' Closed', '0', '170', '170', '0', '0']
['\n        AMS 20 - 01\xa0\xa0 Mathematical Methods for Engineers II    ', 'Undergraduate', 'Student Option', '42838', 'Lecture', '5 units', 'MF', ' Open', '13', '192', '179', '0', '0']
['\n        AMS 80B - 01\xa0\xa0 Data Visualization    ', 'Undergraduate', 'Student Option', '42987', 'Lecture', '5 units', 'SR', ' Closed', '0', '0', '0', '0', '0']
